date,headline,print_headline,abstract,snippet,lead_paragraph
2004-01-26,Ex-Inspector Says C.I.A. Missed Disarray in Iraqi Arms Program,THE STRUGGLE FOR IRAQ: INTELLIGENCE; Ex-Inspector Says C.I.A. Missed Disarray in Iraqi Arms Program,"David A Kay, recently resigned chief weapons inspector for CIA, says American intelligence agencies failed to recognize that Iraq had all but abandoned its efforts to produce large quantities of chemical or biological weapons after first Persian Gulf war in 1991; says they did not detect that Iraq's unconventional weapons programs were in state of disarray in recent years under increasingly erratic leadership of Saddam Hussein, and they did not know that Hussein insisted on self-directing projects that were not vetted by anyone else, allowing wily scientists to fake weapons programs and pocket money themselves; says Iraq did attempt to revive its efforts to develop nuclear weapons in 2000 and 2001, but never got as far toward making bomb as Iran and Libya did; says Baghdad was working to produce biological weapon using poison ricon until American invasion last Mar; says Tariq Aziz, former deputy prime minister, said after his capture that Hussein had become increasingly divorced from reality during last two years of his rule; Kay says CIA missed significance of chaos in Iraqi leadership; photo (L)","David A Kay, recently resigned chief weapons inspector for CIA, says American intelligence agencies failed to recognize that Iraq had all but abandoned its efforts to produce large quantities of chemical or biological weapons after first Persian G...",Correction Appended
2004-01-27,Working Women Dominate the Jury For Stewart's Trial,Working Women Dominate the Jury For Stewart's Trial,"Jury of eight woman and four men is seated in federal court in Manhattan to hear government's case alleging obstruction of justice and securities fraud by Martha Stewart in her sale of Imclone stock; panel is weighted toward working women, including foreign-born pharmacist whose command of English was questioned by defense lawyers; trial watchers say composition of jury bodes well for Stewart; photo; not considered accidental is fact that Judge Miriam Goldman Cedarbaum and chief prosecutor Karen Patton Seymour are also women; prosecution wins ruling that defense may not question government's motives in bringing case or suggest that she is not guilty of insider trading because that charge was not brought or suggest Stewart is being prosecuted for asserting her innocence or point out unusual charge of trying to pump up her own company's stock (M)","Jury of eight woman and four men is seated in federal court in Manhattan to hear government's case alleging obstruction of justice and securities fraud by Martha Stewart in her sale of Imclone stock; panel is weighted toward working women, includi...",Correction Appended
2004-01-30,BUSH'S AIDES PUT HIGHER PRICE TAG ON MEDICARE LAW,BUSH'S AIDES PUT HIGHER PRICE TAG ON MEDICARE LAW,"Bush administration says new Medicare law offering prescription drug benefits and private health plans to elderly would cost at least $530 billion over ten years, third more than computed when Congress passed legislation two months ago; new estimate could strengthen hand of conservative Republicans who oppose any expansion of the benefit and of Democrats who want to save money by controlling drug prices and reducing Medicare payments to private insurers (M)","Bush administration says new Medicare law offering prescription drug benefits and private health plans to elderly would cost at least $530 billion over ten years, third more than computed when Congress passed legislation two months ago; new estima...","The Bush administration said on Thursday that the new Medicare law offering prescription drug benefits and private health plans to the elderly would cost at least $530 billion over 10 years, or one-third more than the price tag used when Congress passed the legislation two months ago."
2004-01-31,NEW IRAQ AGENCY TO HUNT REBELS,NEW IRAQ AGENCY TO HUNT REBELS,"Iraqi authorities, with help of US intelligence agencies, are creating intelligence service that will focus on rooting out guerrilla fighters, especially those from outside country; service will employ some former agents of Saddam Hussein's security apparatus and will probably receive financing from US; it will employ 500 to 2,000 people, and is expected to be formed before Bush administration transfers sovereignty to Iraqi government on June 30; CIA is taking lead in helping put together new service; photo shows partly destroyed headquarters of Saddam Hussein's secret police (M)","Iraqi authorities, with help of US intelligence agencies, are creating intelligence service that will focus on rooting out guerrilla fighters, especially those from outside country; service will employ some former agents of Saddam Hussein's securi...","The Iraqi authorities, with the help of American intelligence agencies, are creating an intelligence service here that will focus on rooting out guerrilla fighters, especially those from outside the country, Iraqi and American officials said Friday. The service will employ some former agents of Saddam Hussein's security apparatus and will probably receive financing from the American government, the officials said."
2004-02-03,COMPANIES LIMIT HEALTH COVERAGE OF MANY RETIREES,COMPANIES LIMIT HEALTH COVERAGE OF MANY RETIREES,"Employers have unleashed new wave of cutbacks in company-paid health benefits for retirees, with growing number of companies requiring retirees to pay full cost to retain coverage; experts expect trend, driven by fast-rising cost of health care, to continue despite billions of dollars government will pay companies that maintain retiree coverage when new Medicare drug benefit begins in two years; companies are not obligated to set aside funds to pay for retirees' health benefits, and health plans can usually be changed or ended at company's choosing; companies that offer retiree benefits typically have subsidized about 60 percent of premium; many companies dropping subsidies push retirees into insurance pools separate from those of younger, healthier workers, cutting company's costs for insuring current workers, while further raising premiums charged retirees; graph of companies offering retiree health care benefits; photo (M)","Employers have unleashed new wave of cutbacks in company-paid health benefits for retirees, with growing number of companies requiring retirees to pay full cost to retain coverage; experts expect trend, driven by fast-rising cost of health care, t...","Employers have unleashed a new wave of cutbacks in company-paid health benefits for retirees, with a growing number of companies saying that retirees can retain coverage only if they are willing to bear the full cost themselves."
2004-02-04,Bush Presses U.N. to Mediate Iraqi Clash on Rule,Bush Presses U.N. to Mediate Iraqi Clash on Rule,"Pres Bush presses United Nations Sec Gen Kofi Annan at White House meeting to have his aides mediate among quarreling factions in Iraq and forge consensus behind plan that would allow transfer of sovereignty to Iraqi government by June 30; Bush aides say Bush, without rapid progress on political issues, might agree to delay self-rule as last resort; Bush offers Annan dozen transfer options, ranging from holding direct elections before June 30 to radically overhauling unwieldy caucus system that is supposed to choose new national assembly; Annan, after meeting, says UN team heading soon to Iraq to assess possibility of direct elections will expand its agenda; says UN has chance to help break impasse; photo (M)",Pres Bush presses United Nations Sec Gen Kofi Annan at White House meeting to have his aides mediate among quarreling factions in Iraq and forge consensus behind plan that would allow transfer of sovereignty to Iraqi government by June 30; Bush ai...,"President Bush pressed Kofi Annan, the United Nations secretary general, on Tuesday to have his aides mediate among quarreling factions in Iraq and forge a consensus behind a plan that would allow the transfer of sovereignty to a government in Baghdad by June 30, administration officials said."
2004-02-07,39 DIE IN MOSCOW AS BOMB GOES OFF ON SUBWAY TRAIN,39 DIE IN MOSCOW AS BOMB GOES OFF ON SUBWAY TRAIN,"Bomb explodes inside Moscow subway train during morning rush on Feb 6, killing at least 39 people and wounding over 130; no one claims responsibility for bombing though senior government officials, including Pres Vladimir V Putin, suspect that it is latest in series of terrorist attacks linked to war in Chechnya; hundreds of passengers have to stagger through smoke-filled tunnels to reach safety; Putin blames wave of terror on separatist leader Aslan Maskhadov; map; photos (M)","Bomb explodes inside Moscow subway train during morning rush on Feb 6, killing at least 39 people and wounding over 130; no one claims responsibility for bombing though senior government officials, including Pres Vladimir V Putin, suspect that it ...","A bomb exploded inside a crowded subway train during the morning rush on Friday, killing at least 39 people and wounding more than 130. No one claimed responsibility for the bombing though senior government officials, including President Vladimir V. Putin, said they suspected that it was the latest in a series of terrorist attacks linked to the war in Chechnya."
2004-02-08,Histories Vanish Along With South's Cemeteries,Histories Vanish Along With South's Cemeteries,"Old Mill Cemetery in Thomaston, Ga, is one of thousands in South being swallowed by development and neglect; Mississippi Heritage Trust, alarmed by destruction and distintegration of so many historic burial grounds, includes handful of them on list of state's most endangered places; weak laws and lax enforcement allow developers to bulldoze them and prevent vandals from being prosecuted; little money is available in state and county treasuries for upkeep; preservationists say most imperiled burial grounds are those historically used by blacks; poorly marked graves, neglected when people moved away, and lost tradition of cemetery tending are to blame, together with less vigilance by authorities in maintaining black cemeteries than white ones; photos (M)","Old Mill Cemetery in Thomaston, Ga, is one of thousands in South being swallowed by development and neglect; Mississippi Heritage Trust, alarmed by destruction and distintegration of so many historic burial grounds, includes handful of them on lis...","The old dead lie beneath a noxious carpet of brambles and poison ivy, their tombstones mostly shattered and their names long forgotten. The graves of the recent dead, fresh mounds of ocher clay, are equally anonymous, without a single stone or marker among the strewn beer cans and candy wrappers."
2004-02-11,Kerry Sweeps to 2 Victories As Clark Drops Out of Race,THE 2004 CAMPAIGN: THE OVERVIEW; Kerry Sweeps to 2 Victories As Clark Drops Out of Race,"Senator John Kerry of Massachusetts rolled to commanding victories in the Tennessee and Virginia primaries on Tuesday, solidifying his position as the perhaps unstoppable front-runner for the Democratic nomination and dealing a serious blow to his two Southern rivals.    Mr. Kerry won by substantial margins in each state, and surveys of voters leaving the polls showed that he ran well among whites and blacks alike. Senator John Edwards of North Carolina and Gen. Wesley K. Clark, who fought hard in their native region to halt Mr. Kerry's drive to the nomination, finished far behind.  ","Senator John Kerry of Massachusetts rolled to commanding victories in the Tennessee and Virginia primaries on Tuesday, solidifying his position as the perhaps unstoppable front-runner for the Democratic nomination and dealing a serious blow to his...","Senator John Kerry of Massachusetts rolled to commanding victories in the Tennessee and Virginia primaries on Tuesday, solidifying his position as the perhaps unstoppable front-runner for the Democratic nomination and dealing a serious blow to his two Southern rivals."
2004-02-12,"Defending '03 Law, Justice Dept. Seeks Abortion Records","Defending '03 Law, Justice Dept. Seeks Abortion Records","Justice Dept demands that at least six hospitals in New York City, Philadelphia and elsewhere turn over hundreds of patient medical records to determine whether procedure that opponents call partial-birth abortion was in fact medically necessary; says it needs records to defend new law that prohibits procedure, known medically as intact dilation and extraction; new law is being challenged in suit by doctors at hospitals nationwide; hospital administrators are balking at Justice Dept request, saying it would violate privacy rights of their patients; standoff has resulted in clashing interpretations from federal judges in recent days about whether Justice Dept has right to see files; it is unclear exactly how many patients would be affected by subpoenas--if they are enforced; advocates for abortion rights say they are particularly troubled by subpoenas because of Atty Gen John Ashcroft's history as outspoken opponent of abortion in his days in Senate (M)","Justice Dept demands that at least six hospitals in New York City, Philadelphia and elsewhere turn over hundreds of patient medical records to determine whether procedure that opponents call partial-birth abortion was in fact medically necessary; ...","The Justice Department is demanding that at least six hospitals in New York City, Philadelphia and elsewhere turn over hundreds of patient medical records on certain abortions performed there."
2004-02-15,"Bush's Campaign to Intensify, With Emphasis on His Record","THE 2004 CAMPAIGN: THE STRATEGY; Bush's Campaign to Intensify, With Emphasis on His Record","Pres Bush aides and Republican officials say his political advisers are completing plans for more aggressive stage of his re-election drive, seeking to discredit Sen John Kerry and promote Bush's record and character with television advertisements and more visible role for Bush himself; Bush has told associates he wants to get more assertive in drawing distinctions with Democrats and defending his tenure as he travels nation; strategy shift, to be executed in next few weeks, comes amid Republican anxiety about Bush's declining poll numbers, uncharacteristic administration missteps and torrent of criticism of Bush from energized Democrats apparently unifying around Kerry; photo (M)","Pres Bush aides and Republican officials say his political advisers are completing plans for more aggressive stage of his re-election drive, seeking to discredit Sen John Kerry and promote Bush's record and character with television advertisements...","President Bush's political advisers are completing plans for a more aggressive stage of his re-election campaign, seeking to discredit Senator John Kerry and promote Mr. Bush's record and character with television advertisements and a more visible role for the president himself, aides and Republican officials say."
2004-02-16,Chaos Becomes a Way of Life in a Rebel-Held Haitian City,Chaos Becomes a Way of Life in a Rebel-Held Haitian City,"Fear and chaos have become way of life in Gonaives, Haiti, key crossroads held by armed rebels calling for Pres Jean-Bertrand Aristide's ouster; possibility that rebels, led by Butteur Metayer, are backed by sinister figures from Haiti's violent past, coupled with government's weak and disorganized security arrangements, could take conflict, now limited to uprisings by small armed groups in cities across nation, to new level; Gonaives rebels apparently have not massed enough militants to take on police and pro-Aristide militants in other major cities; Aristide does not seem to have enough manpower to take back Gonaives by force; map; photo (M)","Fear and chaos have become way of life in Gonaives, Haiti, key crossroads held by armed rebels calling for Pres Jean-Bertrand Aristide's ouster; possibility that rebels, led by Butteur Metayer, are backed by sinister figures from Haiti's violent p...","When Roselene Guillaume saw her husband's bullet-riddled body, she did not need to be told what to do."
2004-02-19,Kerry and Edwards Square Off As Dean Abandons Campaign,THE 2004 CAMPAIGN: BATTLEGROUNDS; Kerry and Edwards Square Off As Dean Abandons Campaign,"Howard Dean abandons campaign for Democratic presidential nomination after finishing third in Wisconsin primary; Sens John Kerry and John Edwards move aggressively to fill space, picking states they will compete in over next two weeks and arguing over Kerry's support of free trade accords and his contributions from lobbyists; Kerry, campaigning in Ohio, says he and Edwards have same stands on future trade pacts; photos (M)","Howard Dean abandons campaign for Democratic presidential nomination after finishing third in Wisconsin primary; Sens John Kerry and John Edwards move aggressively to fill space, picking states they will compete in over next two weeks and arguing ...","Howard Dean ended his bid for the presidency on Wednesday, leaving John Kerry and John Edwards battling over free trade and jobs as the Democratic presidential contest veered into a more combative two-man struggle."
2004-02-20,"EDWARDS ARRIVES IN NEW YORK, SET TO IMPEDE KERRY","THE 2004 CAMPAIGN: NEW YORK; EDWARDS ARRIVES IN NEW YORK, SET TO IMPEDE KERRY","Sen John Edwards brings his populist campaign for Democratic presidential nomination to New York, which has become unexpected battleground that may offer him last-ditch opportunity to slow Sen John Kerry's momentum and keep his own candidacy alive; declares that nation's economy is in shambles and blames avarice of multinational corporations; vows to campaign aggressively in upstate cities and in pockets of New York City's outer boroughs where working-class people have lost jobs in recent years as more companies have moved their operations overseas; it is far from certain whether that tactic will work; photo of Edwards at Columbia University (M)","Sen John Edwards brings his populist campaign for Democratic presidential nomination to New York, which has become unexpected battleground that may offer him last-ditch opportunity to slow Sen John Kerry's momentum and keep his own candidacy alive...","Senator John Edwards on Thursday brought his populist campaign to New York, a state that has become an unexpected battleground that may offer him a last-ditch opportunity to slow Senator John Kerry's momentum and keep his own bid for the presidency alive."
2004-02-23,"LOOT: Along the Antiquities Trail; An Illicit Journey Out of Egypt, Only a Few Questions Asked","LOOT: Along the Antiquities Trail; An Illicit Journey Out of Egypt, Only a Few Questions Asked","Court records and dozens of interviews and documents about funeral stele excavated in Akhmim, Egypt, in 1994 and seized by federal agents in New York two years ago provide rare, detailed account of smuggling, marketing and selling of high-end antiquities; worldwide trade in looted antiquities usually begins and ends in silences, with few questions asked; stele's progress shows how seamlessly looted objects can blend into legitimate market, whether dealers are aware of it or not; stele was key prosecution weapon in conviction of American dealer Frederick Schultz for conspiring to sell stolen artifacts, even though he never sold, or even saw, stele; stele is now in Cairo Museum, trophy of Egypt's drive to reclaim its stolen treasures; photos (L)","Court records and dozens of interviews and documents about funeral stele excavated in Akhmim, Egypt, in 1994 and seized by federal agents in New York two years ago provide rare, detailed account of smuggling, marketing and selling of high-end anti...",Correction Appended
2004-02-24,Forecast of Rising Oil Demand Challenges Tired Saudi Fields,Forecast of Rising Oil Demand Challenges Tired Saudi Fields,"Saudi Arabia's vast oil fields, pumped for more than half-century, are in decline, raising serious questions about whether kingdom will be able to satisfy world's thirst for oil in coming years; energy forecasts call for almost doubling Saudi output in next decade and after, but capacity will likely stall near current levels, potentially creating significant gap in global energy supply; outsiders have not had access to Saudi Aramco data for more than 20 years but Saudi experts suggest looming problems; map; charts; Saudi Arabia is not running out oil, but it is becoming more difficult or expensive to extract; country now produces about eight million barrels daily, about one-tenth of world's needs, and is top supplier to US; average decline rate in mature fields is about eight percent a year (M)","Saudi Arabia's vast oil fields, pumped for more than half-century, are in decline, raising serious questions about whether kingdom will be able to satisfy world's thirst for oil in coming years; energy forecasts call for almost doubling Saudi outp...","When visitors tour the headquarters of Saudi Arabia's oil empire -- a sleek glass building rising from the desert in Dhahran near the Persian Gulf -- they are reminded of its mission in a film projected on a giant screen. ''We supply what the world demands every day,'' it declares."
2004-02-27,Edwards Challenges Kerry Over Who Can Win,THE 2004 CAMPAIGN: DEBATE; Edwards Challenges Kerry Over Who Can Win,"Democratic candidates hold lively 90-minute debate as they head toward biggest day of primary voting in Democratic nomination battle; Sens John Kerry and John Edwards clash over who has greater ability to woo independent voters and defeat Pres Bush; under persistent questioning from CNN and Los Angeles Times panel, both express their opposition to gay marraige and to Pres Bush's call for constitutional amendment to bar it; Kerry is also challenged on his opposition to death penalty, position that Democrats have long feared could cause him problem; debate also includes Rep Dennis J Kucinich and Rev Al Sharpton; photo (M)",Democratic candidates hold lively 90-minute debate as they head toward biggest day of primary voting in Democratic nomination battle; Sens John Kerry and John Edwards clash over who has greater ability to woo independent voters and defeat Pres Bus...,Senators John Kerry and John Edwards clashed over the death penalty and tussled with questions about gay marriage on Thursday in a lively debate that took place as the candidates headed toward the biggest day of primary voting in the Democratic nomination battle.
2004-02-28,Most Serious Charge Against Stewart Is Dismissed,Most Serious Charge Against Stewart Is Dismissed,"Judge Miriam Goldman Cedarbaum dismisses charge of securities fraud against Martha Stewart, which was based on unusual application of federal law; it was most serious charge against her; Stewart still faces four criminal charges based on accusation that she lied to and conspired to deceive federal investigators about reasons she sold 3,928 shares of ImClone Systems, company headed by Dr Samuel D Waksal, on Dec 27, 2001; prosecutors contend that she sold shares after receiving tip, passed on by assistant to her former broker and co-defendant Peter E Bacanovic, that Waksal was trying to sell his own shares of ImClone; Waksal is serving seven-year prison sentence for crimes including securities fraud (M)","Judge Miriam Goldman Cedarbaum dismisses charge of securities fraud against Martha Stewart, which was based on unusual application of federal law; it was most serious charge against her; Stewart still faces four criminal charges based on accusatio...","Dealing a setback to prosecutors in the Martha Stewart case, the judge overseeing the trial threw out the most serious charge against her yesterday, simplifying the closing arguments both sides must make next week."
2004-03-02,Dole Finding Winning Role As TV Pundit,THE 2004 CAMPAIGN: THE COMMENTATOR; Dole Finding Winning Role As TV Pundit,"Bob Dole, former senator and presidential candidate, Viagra pitchman and white-shoe lobbyist, finds yet another vocation at age 80, as election-night pundit on CNN; photo; he is appearing on Larry King Live throughout Democratic primary season and will offer commentary at conventions this summer and on election night in November; Dole observes that his inside glimpses into candidates' thinking come from fact that he has been there and has 'lost everything'; he is also on speaking tour for Pfizer promoting new Medicare drug coverage, but says he relishes analyst role that allows him to strategize without heartbreak; perhaps most striking is sympathy that Republicans' onetime 'hatchet man' expresses for losing Democrats (M)","Bob Dole, former senator and presidential candidate, Viagra pitchman and white-shoe lobbyist, finds yet another vocation at age 80, as election-night pundit on CNN; photo; he is appearing on Larry King Live throughout Democratic primary season and...","Bob Dole, presidential candidate, Viagra pitchman and white-shoe lobbyist, is still career-hopping at age 80 and has found a new vocation: election night punditry."
